cell_ID	tissue	background	total_counts	mitochondrial_fraction	cell_type	cluster	tsne_x	tsne_y
120703408789867	spleen	human	10557	0.020744529695936344	cDC1	2	-4.677209612705004	-24.125255221569354
120703409051547	spleen	human	7355	0.03874915023793338	CLEC10A+ cDC2	0	-2.3161501127074136	19.38554763069365
120703409141555	spleen	human	7734	0.03284199637962244	CLEC10A+ cDC2	0	1.880715682712361	15.617401795435661
120703409609587	spleen	human	8729	0.0270363157291786	CLEC10A+ cDC2	0	-5.17441146759097	5.558264911362287
120703423559540	spleen	human	7986	0.03293263210618583	CLEC10A- cDC2	3	13.447703138803615	6.567420252357487
120703423731429	spleen	human	9452	0.03501904358865848	CLEC10A+ cDC2	0	-10.376513087849178	8.17810375873471
120703436078389	spleen	human	12690	0.019700551615445233	cDC1	2	-0.35980483052163315	-22.781295583021542
120703436343142	spleen	human	10928	0.022144948755490484	CLEC10A+ cDC2	1	-0.09415019866165017	5.382901490870312
120703454956340	spleen	human	10616	0.03984551620195931	CLEC10A+ cDC2	7	-8.425445449007919	16.46740680026735
120703455226605	spleen	human	8008	0.04183316683316683	CLEC10A- cDC2	3	15.303924618748502	4.937537587537608
120703455455644	spleen	human	11356	0.022102853117294822	AS DC	6	5.72130170222711	-0.964579685918518
120703455521564	spleen	human	8865	0.024816694867456288	CLEC10A+ cDC2	1	-5.686844382145601	-2.50371332436754
120726897155366	spleen	human	8225	0.025167173252279636	CLEC10A+ cDC2	1	-8.557409812121339	-0.39638922186546094
120726897510254	spleen	human	6559	0.033846622960817196	CLEC10A+ cDC2	0	2.804837314670111	14.572477231363818
120726911870812	spleen	human	10372	0.028924026224450443	CLEC10A+ cDC2	1	0.5137570905071246	4.60689265484841
120726911896478	spleen	human	10083	0.027571159377169495	CLEC10A- cDC2	4	6.211416268026779	7.7006059272004945
120726924774756	spleen	human	12127	0.027129545641955966	cDC1	5	-0.8216710235453337	-19.541267727236985
120726925036270	spleen	human	11746	0.023241954707985697	CLEC10A+ cDC2	7	-10.652755446049378	17.17408979229085
120726943623078	spleen	human	10240	0.030078125	CLEC10A+ cDC2	0	-3.336040577421412	5.565629701912582
120726943808750	spleen	human	15456	0.01688664596273292	cDC1	5	0.05372210485257695	-21.305228523604665
120726943853940	spleen	human	9985	0.024036054081121683	CLEC10A- cDC2	4	2.9890064016174223	5.6215906866151135
120772933891942	spleen	human	10537	0.028281294486096613	Mitotic cDC1	9	2.3984796551172822	-15.11008936163062
120772934425323	spleen	human	8357	0.031350963264329304	CLEC10A- cDC2	3	13.69107022432317	7.947477259845037
120772948319132	spleen	human	6666	0.03165316531653165	CLEC10A+ cDC2	0	3.517528084694142	14.388593157719278
120772948544942	spleen	human	9983	0.046178503455874986	CLEC10A- cDC2	3	17.818150345338147	4.531378213388578
120772948871924	spleen	human	8725	0.025902578796561604	AS DC	6	10.65374588647581	-1.8274737365500129
120772980229925	spleen	human	14983	0.01768671160648735	cDC1	2	-0.7688415964235367	-24.608754840179643
120772980259691	spleen	human	8560	0.02219626168224299	cDC1	2	-3.504615357788715	-24.17056751053674
120772980325102	spleen	human	8637	0.025703369225425494	CLEC10A- cDC2	4	6.639049942465595	8.421017186740146
120772980530099	spleen	human	12215	0.026361031518624643	CCR7+ cDC2	8	-13.887432218366184	10.529975541685932
120772980562149	spleen	human	6393	0.019083372438604723	AS DC	6	14.184973405550187	-1.0161679074712089
120786758810406	spleen	human	7794	0.03104952527585322	CLEC10A+ cDC2	1	-11.188104847059362	1.6745341128339963
120786772737443	spleen	human	6722	0.032430824159476346	CLEC10A+ cDC2	0	-0.33158522691986003	17.066519812357402
120786772974428	spleen	human	13705	0.02663261583363736	Mitotic cDC1	9	1.237204732490638	-16.199811512083073
120786785356518	spleen	human	9381	0.020466901183242726	CLEC10A+ cDC2	0	-4.281570705807884	9.563303889106123
120786804493724	spleen	human	10765	0.02796098467254993	CLEC10A+ cDC2	0	-2.500662724017216	5.961817481997908
